teacherID,hours,instanceID,isReported,isAssigned
19620522-0023,240,I-1,FALSE,TRUE
19790708-0041,100,I-1,FALSE,TRUE
19930221-0139,140,I-1,FALSE,TRUE
19690408-0009,280,I-2,FALSE,TRUE
19750220-0037,100,I-2,FALSE,TRUE
19921201-0094,100,I-2,FALSE,TRUE
19570826-0012,240,I-3,FALSE,TRUE
19790702-0038,140,I-3,FALSE,TRUE
19690513-0015,240,I-4,FALSE,TRUE
19750705-0033,140,I-4,FALSE,TRUE
19610623-0005,260,I-5,FALSE,TRUE
19780424-0057,140,I-5,FALSE,TRUE
19920206-0072,100,I-5,FALSE,TRUE
19640220-0029,240,I-6,FALSE,TRUE
19790618-0048,120,I-6,FALSE,TRUE
19910927-0128,140,I-6,FALSE,TRUE
19630126-0001,240,I-7,FALSE,TRUE
19790702-0038,140,I-7,FALSE,TRUE
19910214-0084,120,I-7,FALSE,TRUE
19620831-0024,240,I-8,FALSE,TRUE
19760108-0050,100,I-8,FALSE,TRUE
19931231-0099,100,I-8,FALSE,TRUE
19570826-0012,260,I-9,FALSE,TRUE
19760524-0046,120,I-9,FALSE,TRUE
19600814-0002,240,I-10,FALSE,TRUE
19780424-0057,100,I-10,FALSE,TRUE
19911116-0069,140,I-10,FALSE,TRUE
19620522-0023,260,I-11,FALSE,TRUE
19750220-0037,140,I-11,FALSE,TRUE
19930709-0100,140,I-11,FALSE,TRUE
19640220-0029,280,I-12,FALSE,TRUE
19790708-0041,100,I-12,FALSE,TRUE
19570615-0011,240,I-13,FALSE,TRUE
19771013-0040,140,I-13,FALSE,TRUE
19620831-0024,260,I-14,FALSE,TRUE
19750417-0051,120,I-14,FALSE,TRUE
19590129-0004,260,I-15,FALSE,TRUE
19750906-0032,120,I-15,FALSE,TRUE
19620831-0024,240,I-16,FALSE,TRUE
19780317-0052,100,I-16,FALSE,TRUE
19610620-0006,240,I-17,FALSE,TRUE
19790717-0045,140,I-17,FALSE,TRUE
19590129-0004,260,I-18,FALSE,TRUE
19781130-0054,120,I-18,FALSE,TRUE
19920206-0072,140,I-18,FALSE,TRUE
19561222-0030,240,I-19,FALSE,TRUE
19780602-0035,100,I-19,FALSE,TRUE
19900211-0140,120,I-19,FALSE,TRUE
19640414-0013,280,I-20,FALSE,TRUE
19781217-0053,140,I-20,FALSE,TRUE
19900902-0114,140,I-20,FALSE,TRUE
19620424-0026,280,I-21,FALSE,TRUE
19780317-0052,100,I-21,FALSE,TRUE
19931231-0099,140,I-21,FALSE,TRUE
19601021-0018,260,I-22,FALSE,TRUE
19750722-0060,140,I-22,FALSE,TRUE
19920217-0098,120,I-22,FALSE,TRUE
19680712-0028,260,I-23,FALSE,TRUE
19760524-0046,100,I-23,FALSE,TRUE
19610623-0005,280,I-24,FALSE,TRUE
19750122-0056,100,I-24,FALSE,TRUE
19921127-0120,140,I-24,FALSE,TRUE
19560812-0016,240,I-25,FALSE,TRUE
19761020-0044,120,I-25,FALSE,TRUE
19920122-0065,100,I-25,FALSE,TRUE
19680712-0028,280,I-26,FALSE,TRUE
19781130-0054,140,I-26,FALSE,TRUE
19610620-0006,280,I-27,FALSE,TRUE
19750906-0032,120,I-27,FALSE,TRUE
19620522-0023,260,I-28,FALSE,TRUE
19781130-0054,100,I-28,FALSE,TRUE
19921002-0129,140,I-28,FALSE,TRUE
19560812-0016,260,I-29,FALSE,TRUE
19751018-0039,100,I-29,FALSE,TRUE
19901029-0071,120,I-29,FALSE,TRUE
19600814-0002,280,I-30,FALSE,TRUE
19790426-0049,140,I-30,FALSE,TRUE
19560705-0025,260,I-31,FALSE,TRUE
19790702-0038,120,I-31,FALSE,TRUE
19900701-0113,140,I-31,FALSE,TRUE
19610918-0027,280,I-32,FALSE,TRUE
19761024-0034,100,I-32,FALSE,TRUE
19660630-0020,240,I-33,FALSE,TRUE
19781217-0053,120,I-33,FALSE,TRUE
19660630-0020,260,I-34,FALSE,TRUE
19750331-0036,120,I-34,FALSE,TRUE
19690408-0009,280,I-35,FALSE,TRUE
19770713-0042,100,I-35,FALSE,TRUE
19601021-0018,260,I-36,FALSE,TRUE
19790618-0048,100,I-36,FALSE,TRUE
19680712-0028,260,I-37,FALSE,TRUE
19790618-0048,100,I-37,FALSE,TRUE
19610623-0005,280,I-38,FALSE,TRUE
19781125-0031,100,I-38,FALSE,TRUE
19600529-0021,260,I-39,FALSE,TRUE
19761024-0034,120,I-39,FALSE,TRUE
19921123-0108,100,I-39,FALSE,TRUE
19680712-0028,260,I-40,FALSE,TRUE
19750417-0051,120,I-40,FALSE,TRUE
19590129-0004,260,I-41,FALSE,TRUE
19750122-0056,140,I-41,FALSE,TRUE
19920826-0088,100,I-41,FALSE,TRUE
19600529-0021,260,I-42,FALSE,TRUE
19781217-0053,120,I-42,FALSE,TRUE
19611219-0014,260,I-43,FALSE,TRUE
19750705-0033,140,I-43,FALSE,TRUE
19930512-0117,120,I-43,FALSE,TRUE
19611219-0014,280,I-44,FALSE,TRUE
19780815-0047,140,I-44,FALSE,TRUE
19640414-0013,240,I-45,FALSE,TRUE
19750331-0036,100,I-45,FALSE,TRUE
19910403-0131,100,I-45,FALSE,TRUE
19650303-0019,260,I-46,FALSE,TRUE
19750331-0036,120,I-46,FALSE,TRUE
19690513-0015,280,I-47,FALSE,TRUE
19780815-0047,140,I-47,FALSE,TRUE
19600814-0002,280,I-48,FALSE,TRUE
19751018-0039,120,I-48,FALSE,TRUE
19560612-0010,280,I-49,FALSE,TRUE
19770224-0058,100,I-49,FALSE,TRUE
19930616-0127,140,I-49,FALSE,TRUE
19560612-0010,260,I-50,FALSE,TRUE
19750102-0059,140,I-50,FALSE,TRUE
19560705-0025,260,I-51,FALSE,TRUE
19761009-0055,120,I-51,FALSE,TRUE
19610918-0027,260,I-52,FALSE,TRUE
19790426-0049,100,I-52,FALSE,TRUE
19910101-0133,140,I-52,FALSE,TRUE
19680712-0028,260,I-53,FALSE,TRUE
19790702-0038,140,I-53,FALSE,TRUE
19911116-0069,120,I-53,FALSE,TRUE
19690513-0015,240,I-54,FALSE,TRUE
19760524-0046,140,I-54,FALSE,TRUE
19931118-0062,140,I-54,FALSE,TRUE
19680712-0028,260,I-55,FALSE,TRUE
19750705-0033,120,I-55,FALSE,TRUE
19570826-0012,240,I-56,FALSE,TRUE
19760524-0046,100,I-56,FALSE,TRUE
19920505-0115,100,I-56,FALSE,TRUE
19640220-0029,240,I-57,FALSE,TRUE
19780602-0035,140,I-57,FALSE,TRUE
19561222-0030,260,I-58,FALSE,TRUE
19790426-0049,140,I-58,FALSE,TRUE
19630126-0001,240,I-59,FALSE,TRUE
19780815-0047,100,I-59,FALSE,TRUE
19920505-0115,140,I-59,FALSE,TRUE
19600529-0021,240,I-60,FALSE,TRUE
19761020-0044,140,I-60,FALSE,TRUE
19610918-0027,260,I-61,FALSE,TRUE
19750331-0036,140,I-61,FALSE,TRUE
19650303-0019,240,I-62,FALSE,TRUE
19790618-0048,140,I-62,FALSE,TRUE
19930709-0100,100,I-62,FALSE,TRUE
19640414-0013,240,I-63,FALSE,TRUE
19770713-0042,120,I-63,FALSE,TRUE
19690408-0009,280,I-64,FALSE,TRUE
19761009-0055,120,I-64,FALSE,TRUE
19560812-0016,240,I-65,FALSE,TRUE
19781130-0054,120,I-65,FALSE,TRUE
19620424-0026,280,I-66,FALSE,TRUE
19790702-0038,120,I-66,FALSE,TRUE
19620831-0024,280,I-67,FALSE,TRUE
19761009-0055,140,I-67,FALSE,TRUE
19610918-0027,240,I-68,FALSE,TRUE
19760108-0050,100,I-68,FALSE,TRUE
19610918-0027,240,I-69,FALSE,TRUE
19790717-0045,100,I-69,FALSE,TRUE
19930829-0082,100,I-69,FALSE,TRUE
19600529-0021,260,I-70,FALSE,TRUE
19781125-0031,100,I-70,FALSE,TRUE
19900520-0063,140,I-70,FALSE,TRUE
19601021-0018,280,I-71,FALSE,TRUE
19761024-0034,120,I-71,FALSE,TRUE
19900909-0123,100,I-71,FALSE,TRUE
19610918-0027,240,I-72,FALSE,TRUE
19760108-0050,120,I-72,FALSE,TRUE
19920602-0073,120,I-72,FALSE,TRUE
19690513-0015,280,I-73,FALSE,TRUE
19790426-0049,140,I-73,FALSE,TRUE
19920320-0121,140,I-73,FALSE,TRUE
19561222-0030,260,I-74,FALSE,TRUE
19750331-0036,140,I-74,FALSE,TRUE
19930829-0082,140,I-74,FALSE,TRUE
19620424-0026,280,I-75,FALSE,TRUE
19760524-0046,120,I-75,FALSE,TRUE
19920828-0070,100,I-75,FALSE,TRUE
19580218-0007,280,I-76,FALSE,TRUE
19761009-0055,100,I-76,FALSE,TRUE
19911025-0091,140,I-76,FALSE,TRUE
19660630-0020,240,I-77,FALSE,TRUE
19781130-0054,100,I-77,FALSE,TRUE
19560812-0016,280,I-78,FALSE,TRUE
19750512-0043,140,I-78,FALSE,TRUE
19640220-0029,240,I-79,FALSE,TRUE
19770713-0042,120,I-79,FALSE,TRUE
19580218-0007,280,I-80,FALSE,TRUE
19750722-0060,120,I-80,FALSE,TRUE
19561222-0030,280,I-81,FALSE,TRUE
19770713-0042,120,I-81,FALSE,TRUE
19560705-0025,260,I-82,FALSE,TRUE
19771013-0040,140,I-82,FALSE,TRUE
19920320-0121,100,I-82,FALSE,TRUE
