personID,name,teacherID,deptTeacher,divisionTeacher
411,Teacher 1,19630126-0001,D4,D4-3
412,Teacher 2,19600814-0002,D7,D7-4
413,Teacher 3,19600905-0003,D7,D7-1
414,Teacher 4,19590129-0004,D3,D3-3
415,Teacher 5,19610623-0005,D5,D5-2
416,Teacher 6,19610620-0006,D5,D5-0
417,Teacher 7,19580218-0007,D4,D4-1
418,Teacher 8,19570828-0008,D4,D4-0
419,Teacher 9,19690408-0009,D3,D3-5
420,Teacher 10,19560612-0010,D3,D3-2
421,Teacher 11,19570615-0011,D5,D5-3
422,Teacher 12,19570826-0012,D7,D7-5
423,Teacher 13,19640414-0013,D4,D4-1
424,Teacher 14,19611219-0014,D6,D6-3
425,Teacher 15,19690513-0015,D7,D7-5
426,Teacher 16,19560812-0016,D3,D3-1
427,Teacher 17,19580515-0017,D6,D6-3
428,Teacher 18,19601021-0018,D1,D1-3
429,Teacher 19,19650303-0019,D6,D6-4
430,Teacher 20,19660630-0020,D7,D7-5
431,Teacher 21,19600529-0021,D3,D3-5
432,Teacher 22,19690917-0022,D1,D1-3
433,Teacher 23,19620522-0023,D2,D2-2
434,Teacher 24,19620831-0024,D6,D6-0
435,Teacher 25,19560705-0025,D7,D7-4
436,Teacher 26,19620424-0026,D7,D7-1
437,Teacher 27,19610918-0027,D4,D4-3
438,Teacher 28,19680712-0028,D6,D6-0
439,Teacher 29,19640220-0029,D6,D6-5
440,Teacher 30,19561222-0030,D2,D2-2
