name,studentID,programmeCode,year,graduated,personID
Student 1,19970308-0000,10054,2017,FALSE,1
Student 2,19960213-0001,10011,2016,FALSE,2
Student 3,19960328-0002,10013,2019,FALSE,3
Student 4,19980905-0003,10012,2021,FALSE,4
Student 5,19970413-0004,10052,2017,FALSE,5
Student 6,19990816-0005,10021,2021,FALSE,6
Student 7,19990626-0006,10074,2020,FALSE,7
Student 8,19950304-0007,10071,2019,FALSE,8
Student 9,19991025-0008,10033,2018,FALSE,9
Student 10,19950606-0009,10042,2019,FALSE,10
Student 11,19951026-0010,10011,2021,FALSE,11
Student 12,19990305-0011,10041,2020,FALSE,12
Student 13,19970727-0012,10052,2020,FALSE,13
Student 14,19990219-0013,10012,2017,FALSE,14
Student 15,19970318-0014,10051,2016,FALSE,15
Student 16,19970109-0015,10021,2016,FALSE,16
Student 17,19950717-0016,10042,2016,FALSE,17
Student 18,19990705-0017,10053,2019,FALSE,18
Student 19,19971007-0018,10072,2018,FALSE,19
Student 20,19990124-0019,10041,2017,FALSE,20
Student 21,19990831-0020,10061,2016,FALSE,21
Student 22,19971122-0021,10054,2021,FALSE,22
Student 23,19980414-0022,10073,2016,FALSE,23
Student 24,19980609-0023,10042,2016,FALSE,24
Student 25,19980212-0024,10042,2016,FALSE,25
Student 26,19990805-0025,10051,2017,FALSE,26
Student 27,19970609-0026,10061,2016,FALSE,27
Student 28,19951123-0027,10073,2016,FALSE,28
Student 29,19960701-0028,10021,2019,FALSE,29
Student 30,19960220-0029,10061,2016,FALSE,30
Student 31,19990211-0030,10051,2021,FALSE,31
Student 32,19961018-0031,10041,2019,FALSE,32
Student 33,19960307-0032,10034,2018,FALSE,33
Student 34,19960822-0033,10014,2021,FALSE,34
Student 35,19961012-0034,10042,2021,FALSE,35
Student 36,19960610-0035,10032,2016,FALSE,36
Student 37,19990302-0036,10061,2020,FALSE,37
Student 38,19950801-0037,10072,2018,FALSE,38
Student 39,19960222-0038,10051,2021,FALSE,39
Student 40,19960828-0039,10031,2021,FALSE,40
Student 41,19960118-0040,10012,2020,FALSE,41
Student 42,19980206-0041,10012,2016,FALSE,42
Student 43,19991130-0042,10074,2018,FALSE,43
Student 44,19981023-0043,10041,2020,FALSE,44
Student 45,19950824-0044,10033,2019,FALSE,45
Student 46,19961220-0045,10012,2020,FALSE,46
Student 47,19950308-0046,10041,2018,FALSE,47
Student 48,19990824-0047,10071,2016,FALSE,48
Student 49,19970301-0048,10034,2018,FALSE,49
Student 50,19980102-0049,10014,2021,FALSE,50
Student 51,19970918-0050,10061,2021,FALSE,51
Student 52,19981214-0051,10072,2020,FALSE,52
Student 53,19970721-0052,10041,2019,FALSE,53
Student 54,19951006-0053,10071,2017,FALSE,54
Student 55,19990720-0054,10033,2016,FALSE,55
Student 56,19971008-0055,10032,2017,FALSE,56
Student 57,19980524-0056,10072,2020,FALSE,57
Student 58,19961122-0057,10013,2019,FALSE,58
Student 59,19950522-0058,10031,2021,FALSE,59
Student 60,19970711-0059,10034,2021,FALSE,60
Student 61,19950829-0060,10021,2016,FALSE,61
Student 62,19980221-0061,10054,2019,FALSE,62
Student 63,19960928-0062,10033,2021,FALSE,63
Student 64,19950319-0063,10053,2019,FALSE,64
Student 65,19970309-0064,10001,2021,FALSE,65
Student 66,19960315-0065,10073,2019,FALSE,66
Student 67,19980425-0066,10054,2018,FALSE,67
Student 68,19960924-0067,10021,2018,FALSE,68
Student 69,19951121-0068,10014,2019,FALSE,69
Student 70,19980719-0069,10061,2020,FALSE,70
Student 71,19950124-0070,10054,2018,FALSE,71
Student 72,19990301-0071,10042,2018,FALSE,72
Student 73,19990313-0072,10051,2016,FALSE,73
Student 74,19990702-0073,10041,2016,FALSE,74
Student 75,19950309-0074,10031,2018,FALSE,75
Student 76,19990711-0075,10012,2020,FALSE,76
Student 77,19961023-0076,10033,2021,FALSE,77
Student 78,19981204-0077,10001,2019,FALSE,78
Student 79,19960414-0078,10033,2016,FALSE,79
Student 80,19950404-0079,10033,2018,FALSE,80
Student 81,19950321-0080,10042,2018,FALSE,81
Student 82,19970428-0081,10054,2021,FALSE,82
Student 83,19980418-0082,10013,2016,FALSE,83
Student 84,19970820-0083,10041,2017,FALSE,84
Student 85,19950907-0084,10021,2020,FALSE,85
Student 86,19950703-0085,10061,2016,FALSE,86
Student 87,19961124-0086,10032,2021,FALSE,87
Student 88,19980805-0087,10071,2019,FALSE,88
Student 89,19970721-0088,10061,2017,FALSE,89
Student 90,19970904-0089,10011,2016,FALSE,90
Student 91,19960609-0090,10014,2018,FALSE,91
Student 92,19990918-0091,10073,2019,FALSE,92
Student 93,19980925-0092,10074,2017,FALSE,93
Student 94,19960227-0093,10071,2021,FALSE,94
Student 95,19990531-0094,10054,2017,FALSE,95
Student 96,19970408-0095,10011,2019,FALSE,96
Student 97,19990427-0096,10033,2019,FALSE,97
Student 98,19990518-0097,10074,2019,FALSE,98
Student 99,19960704-0098,10001,2016,FALSE,99
Student 100,19960621-0099,10014,2019,FALSE,100
Student 101,19980203-0100,10074,2016,FALSE,101
Student 102,19960101-0101,10034,2019,FALSE,102
Student 103,19950821-0102,10011,2019,FALSE,103
Student 104,19970806-0103,10032,2020,FALSE,104
Student 105,19960123-0104,10061,2021,FALSE,105
Student 106,19970630-0105,10041,2020,FALSE,106
Student 107,19950316-0106,10042,2019,FALSE,107
Student 108,19981226-0107,10032,2017,FALSE,108
Student 109,19960818-0108,10054,2021,FALSE,109
Student 110,19970805-0109,10042,2016,FALSE,110
Student 111,19960118-0110,10072,2019,FALSE,111
Student 112,19950511-0111,10021,2017,FALSE,112
Student 113,19990530-0112,10073,2021,FALSE,113
Student 114,19961117-0113,10001,2020,FALSE,114
Student 115,19981221-0114,10013,2017,FALSE,115
Student 116,19950924-0115,10053,2019,FALSE,116
Student 117,19970112-0116,10072,2021,FALSE,117
Student 118,19960911-0117,10012,2019,FALSE,118
Student 119,19970925-0118,10013,2018,FALSE,119
Student 120,19961108-0119,10041,2020,FALSE,120
Student 121,19960829-0120,10054,2019,FALSE,121
Student 122,19990317-0121,10033,2021,FALSE,122
Student 123,19990521-0122,10073,2017,FALSE,123
Student 124,19950709-0123,10013,2021,FALSE,124
Student 125,19950214-0124,10074,2020,FALSE,125
Student 126,19950817-0125,10054,2018,FALSE,126
Student 127,19990405-0126,10054,2020,FALSE,127
Student 128,19970422-0127,10014,2018,FALSE,128
Student 129,19950225-0128,10033,2016,FALSE,129
